词条,类型,中文,例句,中文意思
public health emergencies,phrase,公共卫生突发事件,It identifies current societal challenges posed by a rapidly aging population and frequent public health emergencies.,它确定了人口迅速老龄化和频繁发生的突发公共卫生事件所带来的当前社会挑战。
social isolation,phrase,社会隔离,"Many elderly individuals face challenges in food preparation, shopping, and maintaining adequate nutrition due to physical limitations or social isolation .",由于身体限制或社会隔离，许多老年人在准备食物、购物和保持充足营养方面面临挑战。
digital inclusion,phrase,数字包容,"The urgent need for evaluation systems that incorporate digital inclusion, pandemic resilience, mental health support, and flexible service delivery mechanisms became evident.",迫切需要将数字包容性、流行病抵御能力、心理健康支持和灵活的服务提供机制纳入评估系统。
health services,phrase,健康服务,The adoption of smart health services and accessible website design became critical factors in maintaining care quality and service access .,采用智能医疗服务和无障碍网站设计成为维持护理质量和服务可及性的关键因素。
emergency response,phrase,应急响应,The model's superior performance in identifying Health Services and Emergency Response indicators demonstrates the heightened prominence of these domains in post-pandemic community planning discourse.,该模型在确定卫生服务和应急响应指标方面的卓越表现表明这些领域在大流行后社区规划讨论中的重要性日益突出。
smart community development,phrase,智慧社区建设,"The Smart Community Development category reveals ongoing digital transformation efforts, though at a more measured pace compared to Provence Community.",智能社区发展类别揭示了正在进行的数字化转型工作，但与普罗旺斯社区相比，其步伐更为谨慎。
community support network,phrase,社区支持网络,"Community Support Network (F, teal) and Community Culture and Organization (G, dark blue) categories demonstrate the lowest weight concentrations, with most indicators falling below 0.0200.",社区支持网络（F，青色）和社区文化和组织（G，深蓝色）类别的权重集中度最低，大多数指标均低于 0.0200。
methodological rigor,phrase,方法严谨性,"Fourth, cultural adaptation to Chinese urban governance structures and community characteristics ensured contextual relevance without sacrificing international comparability or methodological rigor.",第四，对中国城市治理结构和社区特征的文化适应确保了情境相关性，同时又不牺牲国际可比性或方法论的严谨性。
practical applicability,phrase,实践适用性,"To ensure scientific rigor and practical applicability, a systematic multi-stage filtering strategy is implemented employing both computational and expert validation criteria.",为了确保科学严谨性和实际适用性，采用计算和专家验证标准实施系统的多级过滤策略。
cultural sensitivity,phrase,文化敏感性,"Second, the hybrid AI–expert–quantitative integration methodology successfully overcame traditional limitations of subjectivity and scale while preserving interpretability and cultural sensitivity.",其次，人工智能-专家-定量的混合集成方法成功地克服了传统的主观性和规模限制，同时保留了可解释性和文化敏感性。
resource allocation,phrase,资源配置,The challenge is not merely about resource allocation but reflects deeper structural inequalities rooted in Henan's agricultural economy and migration patterns.,挑战不仅涉及资源配置，还反映出根植于河南农业经济和人口流动模式的更深层次的结构性不平等。
service delivery,phrase,服务供给,"The urgent need for evaluation systems that incorporate digital inclusion, pandemic resilience, mental health support, and flexible service delivery mechanisms became evident.",迫切需要将数字包容性、流行病抵御能力、心理健康支持和灵活的服务提供机制纳入评估系统。
quality assurance,phrase,质量保障,"Quality assurance represents another significant challenge, as the model's success depends on maintaining consistent service standards across diverse providers and settings.",质量保证是另一个重大挑战，因为该模型的成功取决于在不同的提供商和环境中保持一致的服务标准。
theoretical foundation,phrase,理论基础,This finding validates the research approach of using the WHO framework as the theoretical foundation while developing culturally and technologically adapted evaluation methodologies.,这一发现验证了以世界卫生组织框架为理论基础，同时开发适应文化和技术的评估方法的研究方法。
research gaps,phrase,研究空白,This synthesis demonstrates the theoretical foundation upon which the proposed SciBERT-AHP framework builds and validates the research gaps that necessitate methodological innovation.,这一综合展示了所提出的 SciBERT-AHP 框架构建和验证需要方法创新的研究差距的理论基础。
policy documents,phrase,政策文件,"Manual Literature Selection represents the traditional approach where researchers systematically screen seminal guidelines, policy documents, and academic studies to extract candidate indicators verbatim.",手动文献选择代表了传统的方法，研究人员系统地筛选开创性的指南、政策文件和学术研究，逐字提取候选指标。
academic literature,phrase,学术文献,"Initially, the SciBERT text analysis model is utilized to extract preliminary indicators related to age-friendly communities from academic literature, policy documents, and industry reports.",首先利用SciBERT文本分析模型从学术文献、政策文件、行业报告中提取老年友好社区相关的初步指标。
triangular fuzzy numbers,phrase,三角模糊数,Fuzzy Number Calibration: The conversion protocol employs empirically validated triangular fuzzy numbers that maintain semantic consistency while enabling mathematical operations.,模糊数校准：转换协议采用经过经验验证的三角模糊数，在实现数学运算的同时保持语义一致性。
weight determination,phrase,权重确定,The AHP mathematical framework employs rigorous eigenvalue analysis and consistency validation protocols to ensure reliable weight determination across the hierarchical indicator structure .,AHP 数学框架采用严格的特征值分析和一致性验证协议，以确保整个分层指标结构的权重确定可靠。
hierarchical clustering analysis,phrase,层次聚类分析,"Following the hierarchical clustering analysis, each indicator was assigned a systematic code reflecting both its thematic domain classification and clustering-based grouping structure.",经过层次聚类分析后，每个指标都被分配了一个系统代码，反映其主题领域分类和基于聚类的分组结构。
case study validation,phrase,案例研究验证,"The case study validation further confirms this priority, as communities with stronger emergency preparedness demonstrated higher overall age-friendliness scores.",案例研究验证进一步证实了这一优先事项，因为应急准备能力更强的社区表现出更高的总体年龄友好性得分。
weighted scores,phrase,加权得分,"The community case study validation confirmed the framework's discriminatory power, successfully distinguishing performance levels across the three communities with weighted scores of 85.27 (Excellent), 71.24 (Good), and 54.50 (Moderate).",社区案例研究验证证实了该框架的区分能力，成功地区分了三个社区的绩效水平，加权分数分别为 85.27（优秀）、71.24（良好）和 54.50（中等）。
inter-rater reliability,phrase,评定者间信度,Quality assurance protocols include inter-rater reliability assessment ( ) and systematic documentation of elimination rationale for transparency and replicability .,质量保证协议包括评估者间的可靠性评估（）和系统记录消除理由的透明度和可复制性。
logical coherence,phrase,逻辑一致性,"The method's consistency checking mechanisms ensure logical coherence in expert judgments, while its hierarchical structure facilitates systematic weight determination across multiple evaluation levels.",该方法的一致性检查机制确保了专家判断的逻辑一致性，而其层次结构则有利于跨多个评估级别的系统权重确定。
home-based care,phrase,居家照护,"Specific indicators such as ""Coverage Rate of Home-Based Care Services"" and ""Frequency of Intergenerational Interaction Activities"" reflect these distinctive characteristics while maintaining alignment with international age-friendly community standards.",“居家养老服务覆盖率”、“代际互动活动频率”等具体指标体现了这些鲜明特征，同时与国际老年友好社区标准保持一致。
community-based care,phrase,社区照护,"Industry Survey Reports: 31 official survey reports from the elderly care industry, selected through a systematic screening process focusing on practical experiences, service delivery models, and community-based care innovations .",行业调查报告：31份来自养老行业的官方调查报告，经过系统筛选，重点关注实践经验、服务模式和社区护理创新。
institutional settings,phrase,机构照护场景,"The model distributes care across 50 % home-based, 35 % community-based, and 15 % institutional settings, with strong emphasis on preventive care and community participation .",该模式将护理分布在 50% 的家庭环境、35% 的社区环境和 15% 的机构环境中，重点强调预防性护理和社区参与。
mental health services,phrase,心理健康服务,"Mental Health Services (D2) and Emergency Facilities (E1) receive balanced attention (0.0767 and 0.0704), with a 0.0063 difference suggesting expert slight preference for mental health services over emergency facility infrastructure.",心理健康服务 (D2) 和应急设施 (E1) 受到均衡关注（0.0767 和 0.0704），差异为 0.0063，表明专家稍微偏爱心理健康服务而不是应急设施基础设施。
transportation infrastructure,phrase,交通基础设施,"The matrix reveals expert understanding that transportation infrastructure must simultaneously address safety, accessibility, and quality considerations while prioritizing barrier-free design principles.",该矩阵揭示了专家的理解，即交通基础设施必须同时解决安全、可达性和质量方面的考虑，同时优先考虑无障碍设计原则。
public space environment,phrase,公共空间环境,"Examples include ""Community Outdoor Spaces"" and ""Residential Public Environment"" within Safety of Public Space Environment.",例如，公共空间环境安全中的“社区室外空间”和“住宅公共环境”。
healthcare accessibility,phrase,医疗可及性,This clustering pattern validates expert consensus on healthcare accessibility as the paramount concern for age-friendly community development.,这种聚类模式验证了专家关于医疗保健可及性的共识，这是老年友好型社区发展的首要关注点。
social participation,phrase,社会参与,"The research integrates these elements into a comprehensive evaluation system, encompassing multiple dimensions such as physical space, service provision, and social participation.",研究将这些要素整合成一个综合评价体系，涵盖物理空间、服务提供、社会参与等多个维度。
lived experiences,phrase,切身体验,"Residents should actively participate in community assessment processes, providing feedback on service quality and identifying improvement priorities based on lived experiences.",居民应积极参与社区评估过程，提供有关服务质量的反馈，并根据生活经验确定改进重点。
representative communities,phrase,代表性社区,The case study validation through three representative communities in Henan Province demonstrates the framework's discriminatory power and practical applicability.,通过河南省三个代表性社区的案例研究验证证明了该框架的歧视性和实际适用性。
preventive care,phrase,预防性照护,"The system emphasizes preventive care, mutual aid, and the utilization of healthy elderly as community resources.",该制度强调预防保健、互助以及利用健康老年人作为社区资源。
adaptive response,phrase,适应性应对,"Thus, it is imperative to acknowledge that the pandemic has not ceased; it has merely transitioned into an endemic health challenge demanding sustained vigilance and adaptive responses.",因此，必须承认疫情尚未停止；它只是转变为一种地方性健康挑战，需要持续警惕和适应性反应。
regional specificity,phrase,区域特异性,"The theoretical framework development bridges international best practices with local contextual requirements, creating a hybrid model that maintains global relevance while addressing regional specificity.",理论框架的发展将国际最佳实践与当地具体要求联系起来，创建了一个混合模型，在保持全球相关性的同时解决区域特殊性。
practical utility,phrase,实际效用,"This recognition supports the development of flexible, adaptive evaluation systems that can accommodate this diversity while maintaining theoretical coherence and practical utility.",这种认识支持开发灵活的、适应性的评估系统，该系统可以适应这种多样性，同时保持理论的连贯性和实用性。
operational maturity,phrase,运行成熟度,"This temporal constraint ensures that the evaluated communities have achieved operational maturity, allowing for comprehensive assessment of both infrastructure functionality and service delivery systems.",这种时间限制确保了评估的社区已达到运营成熟度，从而可以对基础设施功能和服务交付系统进行全面评估。
validated indicators,phrase,经验证指标,"The comprehensive weighted scoring system, derived from the integrated FDM-AHP methodology, demonstrates significant performance variations across 48 validated indicators spanning eight primary categories.",综合加权评分系统源自集成的 FDM-AHP 方法，展示了跨越 8 个主要类别的 48 个经过验证的指标的显着性能差异。
primary categories,phrase,一级类别,"This multi-dimensional analysis examines community performance across hierarchical framework levels, providing systematic insights into development patterns and strategic positioning from primary categories through tertiary-level indicators.",这种多维分析检查了跨层次框架级别的社区绩效，提供了对从初级类别到三级指标的发展模式和战略定位的系统见解。
secondary categories,phrase,二级类别,"These secondary categories represent operational components that bridge high-level concepts with measurable indicators, enabling systematic evaluation while maintaining conceptual coherence.",这些二级类别代表了将高层概念与可衡量指标联系起来的业务组成部分，从而在保持概念一致性的同时进行系统评估。
tertiary indicators,phrase,三级指标,"Framework comprises 8 primary categories (L1), 14 secondary categories (L2), and 48 tertiary indicators (L3) with systematic coding system.",框架包括8个一级指标（L1）、14个二级指标（L2）和48个三级指标（L3），并具有系统编码系统。
conceptual boundaries,phrase,概念边界,Each primary category encapsulates a fundamental dimension of age-friendly community evaluation with clear conceptual boundaries and practical significance.,每个主要类别都概括了老年友好社区评估的基本维度，具有清晰的概念界限和实际意义。
practical significance,phrase,实践意义,Each primary category encapsulates a fundamental dimension of age-friendly community evaluation with clear conceptual boundaries and practical significance.,每个主要类别都概括了老年友好社区评估的基本维度，具有清晰的概念界限和实际意义。
community participation,phrase,社区参与,"The framework emphasizes community participation, evidence-based planning, and continuous improvement through monitoring and evaluation .",该框架强调社区参与、基于证据的规划以及通过监测和评估进行持续改进。
digital platforms,phrase,数字平台,"Communities with strong social capital can achieve resilience through community-based support networks, while technology-advanced communities can leverage digital platforms for service delivery enhancement.",拥有强大社会资本的社区可以通过基于社区的支持网络实现弹性，而技术先进的社区可以利用数字平台来增强服务提供。
clinical relevance,phrase,临床相关性,"Community managers (20 %) offer practical operational insights, and healthcare professionals (13.3 %) ensure medical accuracy and clinical relevance.",社区管理者 (20%) 提供实用的操作见解，医疗保健专业人员 (13.3%) 确保医疗准确性和临床相关性。
statistical validation,phrase,统计验证,"The validation methodology employs multiple assessment approaches including expert evaluation, statistical validation, and comparative performance assessment to demonstrate framework effectiveness and reliability .",验证方法采用多种评估方法，包括专家评估、统计验证和比较性能评估，以证明框架的有效性和可靠性。
discriminatory power,phrase,区分能力,This pattern confirms the framework's discriminatory power and validates the viability of different pathways to age-friendly community development.,这种模式证实了该框架的歧视性力量，并验证了老年友好型社区发展的不同途径的可行性。
policy development,phrase,政策制定,This comprehensive approach enables policy development that is both responsive to current conditions and strategically positioned for future demographic transitions.,这种综合方法使政策制定既能适应当前条件，又能针对未来人口转变进行战略定位。
urban planning,phrase,城市规划,"These theoretical frameworks have evolved significantly over the past decade, incorporating insights from environmental gerontology, urban planning, and public health research .",这些理论框架在过去十年中取得了显着发展，融合了环境老年学、城市规划和公共卫生研究的见解。
population aging,phrase,人口老龄化,The aging characteristics in Henan Province reveal a pronounced urban demographic crisis characterized by accelerating population aging and structural imbalances across multiple dimensions .,河南省的老龄化特征揭示了城市人口危机突出，人口老龄化加速，多维度结构失衡。
resource constraints,phrase,资源约束,The framework's participatory approach involves extensive community consultation but faces implementation challenges due to vast distances and resource constraints in remote areas.,该框架的参与性方法涉及广泛的社区协商，但由于偏远地区距离遥远和资源有限，因此面临实施挑战。
community assistance,phrase,社区协助,"The pandemic has intensified concerns regarding health protection, psychological support, and community assistance for elderly residents, creating new categories of needs that traditional evaluation frameworks were not designed to address .",疫情加剧了人们对老年居民的健康保护、心理支持和社区援助的担忧，产生了传统评估框架无法满足的新类别需求。
service accessibility,phrase,服务可及性,"Second, the environmental press dimension includes physical barriers, social demands, technological complexity, and service accessibility that create challenges or opportunities for elderly individuals .",其次，环境压力维度包括为老年人带来挑战或机遇的物理障碍、社会需求、技术复杂性和服务可及性。
supportive environments,phrase,支持性环境,"Importantly, these domains are not isolated components but rather interdependent elements that must work synergistically to create truly supportive environments for older adults.",重要的是，这些领域不是孤立的组成部分，而是相互依赖的元素，必须协同工作，为老年人创造真正的支持性环境。
Fuzzy Delphi Method,phrase,模糊德尔菲法,The fuzzy Delphi method (FDM) was systematically employed to validate and refine the hierarchically clustered indicator framework through structured expert consensus-building .,通过建立结构化的专家共识，系统地采用模糊德尔菲法（FDM）来验证和细化层次聚类指标框架。
