正面	背面	类型	来源
Why is your framework reliable?	The reliability of my framework comes from multiple layers of validation. First, the SciBERT model achieved strong classification performance in domain-specific text analysis. Second, the indicators were refined through expert consensus. Third, the weighting structure was checked through AHP consistency analysis. Fourth, the framework was empirically tested in three representative communities and showed strong discriminatory power. So, reliability in my thesis is not based on one step, but on the integration of computational validation, expert validation, and empirical validation.	防守问题	Notion viva准备
Why should policymakers trust this framework?	Policymakers can trust this framework because it is not based on intuition alone. It is grounded in scientific literature, policy documents, industry reports, expert consensus, and empirical case validation. In other words, the framework was built through multiple evidence sources and tested in real community contexts. This gives it stronger practical credibility than a purely theoretical or purely conceptual framework.	防守问题	Notion viva准备
Why are there 48 indicators? Why not more or fewer?	The number 48 is the result of a systematic refinement process rather than an arbitrary choice. The initial extraction produced a much larger pool of candidate indicators, which were then filtered, clustered, and validated by experts. The goal was to achieve a balance between comprehensiveness and practicality. Too many indicators would make the framework difficult to use; too few would reduce its explanatory power. So, 48 indicators represent a balance between scientific coverage and operational usability.	防守问题	Notion viva准备
Why did you use AHP instead of another weighting method?	I used AHP because it is well suited for structured multi-criteria decision problems where the relative importance of factors needs to be determined systematically. AHP is widely accepted, interpretable, and appropriate for hierarchical frameworks like mine. It also allows consistency checking, which strengthens methodological rigor. In this study, AHP was especially useful because the framework had a clear three-level structure that required transparent weight allocation across dimensions, sub-dimensions, and indicators.	防守问题	Notion viva准备
Why did health services rank first?	Health services ranked first because, in the post-pandemic context, the elderly are especially vulnerable to healthcare access problems, chronic disease management issues, and continuity-of-care challenges. The weighting results show that experts consistently considered healthcare accessibility and service quality as the foundation of an age-friendly community. So, the high ranking is not accidental; it reflects both the literature and expert judgement under post-pandemic conditions.	防守问题	Notion viva准备
Why did emergency response rank so high?	Emergency response ranked very high because the post-pandemic era has made crisis preparedness a core condition of community livability for older adults. An age-friendly community today is not only a community that supports everyday life, but also one that can respond effectively when risks emerge. This includes emergency facilities, response speed, preparedness plans, and resilience mechanisms. That is why emergency response moved from a secondary issue to a central one in my framework.	防守问题	Notion viva准备
Why are your findings important beyond Henan?	Although my thesis is focused on Henan Province, the broader significance lies in the framework logic and methodological approach. The integration of AI-based indicator extraction, expert validation, and hierarchical weighting can be adapted to other regions. Also, the finding that health services and emergency response become central priorities in the post-pandemic era is highly relevant beyond Henan, especially in other aging societies facing similar public health pressures.	防守问题	Notion viva准备
What makes your study different from existing age-friendly community frameworks?	My study differs from existing frameworks in three main ways. First, it is explicitly post-pandemic in orientation, so it captures the importance of health security and emergency resilience more clearly. Second, it integrates SciBERT-based indicator extraction with expert validation and AHP, which makes the framework more systematic and methodologically innovative. Third, it is locally adapted to Henan Province rather than simply applying a general international framework without contextual adjustment.	防守问题	Notion viva准备
If someone says your framework is too complex, how would you respond?	I would respond that complexity is partly unavoidable because age-friendly communities are themselves multi-dimensional. However, I addressed this by organizing the framework into a clear hierarchical structure, which makes it easier to interpret and apply. In practice, policymakers or community managers can focus on different levels depending on their needs: the overall dimensions for strategic planning, the sub-dimensions for program design, and the specific indicators for implementation and monitoring.	防守问题	Notion viva准备
If someone says your framework is too local, how would you respond?	I would say that local adaptation is actually one of the strengths of the study. A framework that is too general may look universal, but it may lose practical relevance. My framework is specifically designed for Henan, which gives it stronger contextual validity. At the same time, the methodological pathway is transferable, so the framework can still inform studies in other regions through adaptation rather than direct copying.	防守问题	Notion viva准备
What is the single most important message of your thesis?	The single most important message of my thesis is that, in the post-pandemic era, an age-friendly community must be evaluated not only by accessibility and infrastructure, but also by its ability to provide health support, emergency resilience, and evidence-based service systems for older adults.	防守问题	Notion viva准备
如果老师继续追问，答题原则是什么？	先回到 thesis 主轴：Henan、post-pandemic、SciBERT + Fuzzy Delphi + hierarchical clustering + AHP、48 indicators、health services and emergency response are central priorities。不要被问题带偏到无关细节里。	答题原则	Notion viva准备
Is your framework really original?	Yes, the originality of my framework lies less in inventing every single indicator from zero, and more in how the framework is constructed, validated, and contextualized. Its originality comes from integrating SciBERT-based indicator extraction, expert consensus validation, hierarchical clustering, and AHP weighting into one coherent post-pandemic evaluation system for Henan Province. In other words, the novelty is methodological, structural, and contextual at the same time.	防守问题	Notion viva准备
What exactly is your theoretical contribution?	My theoretical contribution is that I help redefine what an age-friendly community should prioritize in the post-pandemic era. Traditional discussions often emphasize accessibility and physical design, but my framework shows that health services and emergency response are not peripheral issues; they are central dimensions. So, the thesis contributes to theory by shifting age-friendly community evaluation toward a more resilience-oriented and health-security-oriented understanding.	防守问题	Notion viva准备
Is your study too descriptive rather than theoretical?	I would say it is both analytical and theory-relevant. It is not only describing community conditions, but building a structured evaluation framework grounded in theory, evidence, and expert validation. The descriptive component is necessary because an evaluation system must be operational. But beyond that, the study also makes a theoretical argument: that post-pandemic age-friendly community development must be re-prioritized around health resilience and emergency preparedness.	防守问题	Notion viva准备
Why should we believe SciBERT is appropriate for this study?	SciBERT is appropriate because my research relies heavily on scientific and technical literature, and SciBERT is specifically trained on scientific text. Compared with general NLP models, it is more capable of handling domain-specific terminology and conceptual relationships in academic documents. In this study, SciBERT was not used alone to make final decisions; it was used as a systematic extraction tool, and its results were further validated by experts. So, its appropriateness lies in both its domain suitability and its role within a larger validation pipeline.	防守问题	Notion viva准备
Are three case studies enough?	For framework validation, three case studies are sufficient as an initial empirical test, especially because they were strategically chosen to represent different community types and development conditions. The goal of the case studies was not to claim full statistical generalization, but to test whether the framework can distinguish different levels of community performance in real-world settings. In that sense, the three cases were enough to demonstrate discriminatory power and practical applicability, while broader validation can be extended in future research.	防守问题	Notion viva准备
How do you justify generalizability?	I distinguish between direct generalizability and methodological transferability. My framework is directly grounded in Henan Province, so I do not claim that every indicator weight can be copied unchanged to other regions. However, the methodological pathway—SciBERT extraction, expert validation, hierarchical structuring, and AHP weighting—is transferable. So, the broader value of the thesis lies not only in the Henan-specific framework itself, but also in the replicable methodology it offers for other contexts.	防守问题	Notion viva准备
How do you know the experts were reliable?	The reliability of expert judgement was addressed through a structured Fuzzy Delphi process rather than informal consultation. The experts came from multiple relevant backgrounds, and consensus was built through iterative rounds rather than one-time opinion collection. This design reduces randomness and increases reliability. Also, the purpose of expert input was not to replace evidence, but to refine and validate indicators already extracted from a systematic evidence base.	防守问题	Notion viva准备
Could the weights be biased?	Any weighting process that involves expert judgement may contain some degree of bias, and I acknowledge that. However, I reduced this risk in several ways: by using a structured AHP process, by checking consistency, by combining it with prior evidence extraction, and by involving multiple experts instead of relying on a single viewpoint. So, while no weighting system is absolutely free from judgement, the process in my thesis is transparent, systematic, and methodologically defensible.	防守问题	Notion viva准备
Why not just use the WHO age-friendly framework?	The WHO framework is very important as a global reference, but it is not sufficient by itself for my research purpose. First, it is more general and not specifically designed for the post-pandemic context. Second, it is not fully localized to the realities of Henan Province. Third, my study required a framework with a more explicit weighting structure and empirical validation process. So, the WHO framework is an important foundation, but my thesis extends and adapts beyond it.	防守问题	Notion viva准备
If post-pandemic conditions continue to change, will your framework become outdated?	I would say the framework is not static, but adaptive. Its current form captures the post-pandemic condition as it is now understood, especially the increased centrality of health services and emergency response. If conditions continue to evolve, the framework can also be updated through the same methodological pathway. So, the thesis does not claim a once-and-for-all final model; instead, it provides a robust but updateable system.	防守问题	Notion viva准备
What is the strongest defense of your thesis in one sentence?	The strongest defense of my thesis is that it does not rely on opinion alone, nor on computation alone, but on a systematically integrated framework that combines evidence extraction, expert validation, hierarchical structuring, weighting, and empirical case validation.	防守问题	Notion viva准备
最后的答题总原则是什么？	遇到刁钻问题时，不要急着扩展到太多细节，先稳住 thesis 的核心：this thesis develops and validates a post-pandemic age-friendly urban community evaluation system for Henan Province, using SciBERT, Fuzzy Delphi, hierarchical clustering, and AHP, and showing that health services and emergency response are central priorities.	答题原则	Notion viva准备
Thesis Title	Evaluation System of Urban Community Space for the Elderly in Henan Province in Post-Pandemic Era.	论文信息	Notion viva准备 / thesis
One-sentence core contribution	This thesis develops and validates a post-pandemic age-friendly urban community evaluation system for Henan Province by integrating SciBERT, Fuzzy Delphi, hierarchical clustering, and AHP into a 48-indicator framework.	论文信息	Notion viva准备 / thesis
30-second version	This study fills the gap of lacking a systematic, locally adapted, and evidence-based evaluation system for age-friendly urban communities in Henan Province in the post-pandemic era.	论文信息	Notion viva准备 / thesis
1-minute version	The thesis combines SciBERT-based indicator extraction, expert validation, hierarchical clustering, and AHP weighting to develop and validate a 48-indicator framework across eight major dimensions, showing that health services and emergency response are central priorities.	论文信息	Notion viva准备 / thesis
Research Questions	1) What are the key factors influencing the quality of elderly community spaces? 2) What are the ranking of the most determinant factors for age-friendly community living? 3) How to develop and validate a comprehensive assessment system for age-friendly communities in Henan?	论文信息	Notion viva准备 / thesis
Research Objectives	1) Identify key factors. 2) Rank determinant factors. 3) Develop a comprehensive assessment system.	论文信息	Notion viva准备 / thesis
Method chain	SciBERT + Fuzzy Delphi + hierarchical clustering + AHP + case-study validation.	论文信息	Notion viva准备 / thesis
Framework composition	8 primary domains, 14 secondary elements, 48 validated tertiary indicators.	论文信息	Notion viva准备 / thesis
Top weighted findings	Health Services (23.01%) and Emergency Response (16.76%) are the top priorities in the post-pandemic context.	论文信息	Notion viva准备 / thesis
Case communities and scores	Provence Community (85.27), Fenghuangcheng Community (71.24), Wei'erlu Housing Complex (54.50).	论文信息	Notion viva准备 / thesis
Main contributions	Methodological innovation, locally adapted framework for Henan, and a post-pandemic reprioritization of age-friendly community evaluation.	论文信息	Notion viva准备 / thesis
Main limitations	Henan-focused context, cross-sectional validation, and need for broader future testing.	论文信息	Notion viva准备 / thesis
Opening transition	Today I will present my PhD thesis on...	口头表达	Notion viva准备
Moving to methodology	Now I would like to move to the methodology part.	口头表达	Notion viva准备
Moving to results	Next, I will present the main findings of the study.	口头表达	Notion viva准备
Emphasizing key point	The most important point here is that...	口头表达	Notion viva准备
Answering a difficult question	That is a very important question. From the perspective of this thesis, I would explain it in this way...	口头表达	Notion viva准备
Buying thinking time	Let me answer this question in two parts.	口头表达	Notion viva准备
Closing transition	Finally, I would like to conclude with the main contribution and implications of this study.	口头表达	Notion viva准备
15-minute slide plan	Slide 1: Title + greeting + structure overview (0.5 min); Slide 2: Research background and problem statement (1.5 min); Slide 3: Research questions and objectives (1.0 min); Slide 4: Overall research framework (1.0 min); Slide 5: Data sources and SciBERT extraction (1.5 min); Slide 6: Fuzzy Delphi and AHP weighting (1.5 min); Slide 7: Hierarchical framework: 8 domains / 14 elements / 48 indicators (1.5 min); Slide 8: Main weighting results (2.0 min); Slide 9: Case-study validation and three communities (2.0 min); Slide 10: Core contribution and practical significance (1.5 min).	展示结构	Notion viva准备
